name,number,description,category
Sedley Collection,5415RF-1*,"Whether your home leans to transitional or contemporary design, the Sedley Collection will be the perfect fit for your bedroom. From the distinct walnut veneer pattern – with walnut finish - to the unique cut-away design and horizontal metal hardware of the case goods, each design component lends to placement in a variety of bedroom spaces. The dark brown tone of the inset headboard fabric compliments the finish of the group.",bedroom
Larchmont Collection,5424-1*,"The striking profile of the Larchmont Collection is an intersection of texture, material and style. The charcoal upholstered bed, that centers the collection, features pin-tucked button tufting and nail head accent. Dark glass tops night stand and dresser for subtle reflection and textural interest. Prominent horizontal metal hardware is mounted on each drawer front, and is finished to complement the tone of the charcoal finish over ash veneer. The night stand open concept of the drawer features not only the aforementioned glass top, but also underside LED lighting and power strip – with USB port- for the ultimate modern touch.",bedroom
Toulon Collection,5438-1*,"Classic framing provides elegant contrast to the unique rustic look of the Toulon Collection. Wire-brushed distressing provides texture to the acacia veneer of this lovely bedroom suite. The functional drawers of the footboard allow for additional storage. The French provincial inspired routing lends decorative touch to each piece, while dual drawer and door storage are accented with wide set horizontal metal and wood hardware providing ample space to store your personal possessions.",bedroom
Baldwyn Collection,5789BK-1*,"A rolled and tufted headboard provides elegant touches to the casual Baldwyn Collection. Offered in black bi-cast vinyl and dark gray fabric, this bed offers not only flexible placement, but the opportunity to style the room to fit your needs.",bedroom
Baldwyn Collection,5789N-1*,"A rolled and tufted headboard provides elegant touches to the casual Baldwyn Collection. Offered in black bi-cast vinyl and dark gray fabric, this bed offers not only flexible placement, but the opportunity to style the room to fit your needs.",bedroom
Zoey Collection,5790-1*,"Make a statement in your bedroom with the Zoey Collection platform bed. This dramatic bed is covered with dark brown bi-cast vinyl, matching night stand is also available.",bedroom
Ember Collection,5797N-1*,Light neutral toned fabric and nail head accent create a classic look that makes the Ember Collection a perfect choice for a multitude of bedroom decors.,bedroom
Josie Collection,5799PU-1*,The Josie Collection provides a glamorous platform for the d閏or of your newly restyled bedroom. Textured pearl gray-hued bi-cast vinyl is elegantly appointed with crystal-enhanced tufting on the sleigh headboard.,bedroom
Jervis Collection,5872N-1*,"Imagine the mansion style headboard of the Jervis Collection serving as the focal point in your glamorous bedroom. Covered in a deep gray tone fabric for a versatile personal decorative touch, while button tufting and nail head accent lend sophisticated elegance to the refined shape of the headboard.",bedroom
Elista Collection,5873N-1*,Modern styling combined with the look of tailored menswear creates a uniquely appointed offering for your bedroom in the Elista Collection. Dark gray tweed fabric is interwoven to create eye-catching drama on the headboard and footboard. The collection also features a coordinating bench and stool.,bedroom
Carlow Collection,5874GY-1*,"Modern traditional styling is achieved with the design of the Carlow Collection. The profile of the camelback headboard is accented with nailhead furthering the traditional look. Velvet fabric covers bed and offered in three options- Teal, Navy and Gray.",bedroom
Collection,5874NV-1*,"",bedroom
Collection,5874TE-1*,"",bedroom
Kinsale Collection,5875BE-1*,"Mid-century modern design is utilized to achieve the timeless look of the Kinsale Collection. The headboard features button tufting and square panels that lend to the clean design. Splayed, cherry-finished wood legs, an iconic touch synonymous with mid-centurydesign, support the ultra-low profile of the footboard and rails. The bed is offered in three fabric options – Gray, Beige and Brown.",bedroom
Kinsale Collection,5875BR-1*,"Mid-century modern design is utilized to achieve the timeless look of the Kinsale Collection. The headboard features button tufting and square panels that lend to the clean design. Splayed, cherry-finished wood legs, an iconic touch synonymous with mid-century design, support the ultra-low profile of the footboard and rails. The bed is offered in three fabric options – Gray, Beige and Brown.",bedroom
Kinsale Collection,5875GY-1*,"Mid-century modern design is utilized to achieve the timeless look of the Kinsale Collection. The headboard features button tufting and square panels that lend to the clean design. Splayed, cherry-finished wood legs, an iconic touch synonymous with mid-century design, support the ultra-low profile of the footboard and rails. The bed is offered in three fabric options – Gray, Beige and Brown.",bedroom
Neunan Collection,5876BE-1*,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Neunan Collection,5876BE-1DW*,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Neunan Collection,5876BR-1*,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Neunan Collection,5876BR-1DW*,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Neunan Collection,5876GY-1*,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Neunan Collection,5876GY-1DW*,"The distinct mansion style headboard of the Neunan Collection provides an elegant focal point for your bedroom. With styling that lends to placement in contemporary or transitional environments, the clean lines await your personal touch. Drawer builds into the footboard, providing additional function to storage your essentials. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Fairborn Collection,5877BE-1*,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Fairborn Collection,5877BE-1DW*,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Fairborn Collection,5877BR-1*,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Fairborn Collection,5877BR-1DW*,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Fairborn Collection,5877GY-1*,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Fairborn Collection,5877GY-1DW*,"The stately profile of the Fairborn Collection will lend an air of understated elegance to your bedroom. The mansion headboard features nailhead accent and button tufting creating a modern traditional look that defines your personal style. Providing additional function to the bed is the footboard which extends to expose drawer space to meet your additional storage needs. The bed is offered in one of three fabric coverings – Beige, Brown and Dark Gray.",bedroom
Kaydee Collection,5880DB-1,"Styled for the transitional home, the Kaydee Collection will serve as a versatile addition to your bedroom space. The packaging system allows for the bed to ship in one box, creating a streamlined assembly process. Fully upholstered in a neutral brown fabric and featuring box tufting on the headboard, this bed will serve as a perfect centerpiece for your decorative whims.",bedroom
Fugue Collection,5882-1,"At home in a number of room settings, the Fugue Collection is styled to fit your needs. With a horizontal channel-tufted design in a neutral gray tone fabric, the bed will be the perfect platform for your decorative dreams to become reality.",bedroom
Forte Collection,5885-1*,"At home in a number of room settings, the Forte Collection is styled to fit your needs. With a vertical channel-tufted design in a neutral gray tone fabricand cherry finished wood feet, the bed will be the perfect platform for your decorative dreams to become reality.",bedroom
Northside Collection,5887-1*,"Modern styling paired with a subtle tone creates a uniquely appointed offering for your bedroom in the Northside Collection. Designed for versatile placement within a number of home decorative environments, whether as a blank palette or as an addition to your existing space. Padded beige fabric is interwoven to create a visually interesting texture on the headboard and footboard.",bedroom
Bossa Nova Collection,5888-1*,"Modern traditional glamour is expertly executed in the design of the Bossa Nova Collection. The sunburst tufting that centers at the headboard and footboard is secured with an oversize button for maximum dramatic effect. The profile of the bed features nail head accent lending definition to the contoured shape of the collection. For the ultimate in versatility of decorative choices, the bed is covered in light grey fabric.",bedroom
Copley Collection,815-1,"",bedroom
Emma Collection,815BKPU-1,"",bedroom
Collection,815N-1,"",bedroom
Copley Collection,815PU-1,"",bedroom
Legacy Collection,866NC-1*,"Create an air of bold elegance in your home with the Legacy Collection. Heavy headboard and mirror crowns are accented with dramatic acanthus and tobacco leaf carvings. The headboard, footboard and mirror feature book matched cherry veneers further enhanced by the warm cognac finish. To ensure that elegance is evident in every piece the pilasters on the dresser, chest and night stand as well as mirror and bed posts feature fluting capped with additional leaf carvings. Antiqued brass hardware completes the look of this stylish collection and further enhances the beauty of the cherry veneers. Create your own lasting legacy with the Legacy Collection.",bedroom
Collection,Adjustable Frame,"",bedroom
Bedding Collection,"Mattress, 10-inch","The Homelegance Bedding Collection introduces our line of gel-infused memory foam mattresses that form to your body, creating a customized sleep experience that is as unique as you are. The fabric covering the mattress contains Tencel, a breathable material that allows for a comfortable night’s sleep no matter the season. Offered in three thickness levels - 8″, 10” and 12″, the Homelegance Bedding Collection’s selection creates the perfect fit for your personal sleep experience.",bedroom
Bedding Collection,"Mattress, 12-inch","The Homelegance Bedding Collection introduces our line of gel-infused memory foam mattresses that form to your body, creating a customized sleep experience that is as unique as you are. The fabric covering the mattress contains Tencel, a breathable material that allows for a comfortable night’s sleep no matter the season. Offered in three thickness levels - 8″, 10” and 12″, the Homelegance Bedding Collection’s selection creates the perfect fit for your personal sleep experience.",bedroom
Bedding Collection,"Mattress, 8-inch","The Homelegance Bedding Collection introduces our line of gel-infused memory foam mattresses that form to your body, creating a customized sleep experience that is as unique as you are. The fabric covering the mattress contains Tencel, a breathable material that allows for a comfortable night’s sleep no matter the season. Offered in three thickness levels - 8"", 10"" and 12"", the Homelegance Bedding Collection’s selection creates the perfect fit for your personal sleep experience",bedroom
